date,meter_location_en,equipment_name_en,period_std,interval_energy_kwh
2021-02-24,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.9284879999974804
2021-02-25,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.48050499999968643
2021-02-25,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,28.759821999998945
2021-02-25,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,13.155620000004808
2021-02-25,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.465765000000482
2021-02-26,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.3710050000000946
2021-02-26,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,25.18364299998176
2021-02-26,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,5.963219999997605
2021-02-26,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.1368210000061842
2021-02-27,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.5578809999999053
2021-02-27,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,20.95148500000032
2021-02-27,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,13.688756999996684
2021-02-27,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,4.1652409999970725
2021-02-28,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-02-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,34.5689420000083
2021-02-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,12.994489000002263
2021-02-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.0
2021-03-01,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.05176899999994972
2021-03-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,27.07151100001383
2021-03-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,9.699748999990803
2021-03-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.2220580000002887
2021-03-02,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.33131599999988315
