date,meter_location_en,equipment_name_en,energy_kwh
2021-05-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,2.3262689999967474
2021-05-11,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.18172511609999586
2021-05-11,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.000000000279556e-06
2021-05-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,17.448188000001775
2021-05-12,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.1583789100999973
2021-05-12,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.5995929999989317
2021-05-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,48.576073999993525
2021-05-13,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.1974420149000017
2021-05-13,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.7621199999992315
2021-05-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,44.19097500000771
2021-05-14,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.10869064799999967
2021-05-14,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.3416680000002138
2021-05-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,44.07995400000711
2021-05-15,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.06615978139999804
2021-05-15,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.732579999998594
2021-05-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,50.27561300000642
2021-05-16,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.3371568899000023
2021-05-16,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-05-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,57.34553699999998
2021-05-17,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.17810924899999997
2021-05-17,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.7184840000016381
2021-05-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,46.09842600000358
2021-05-18,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.16512441340000175
2021-05-18,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.7263139999994803
